Date,NEE_VUT_REF,LE_CORR,GPP_DT_VUT_REF,RECO_DT_VUT_REF,H_CORR,TA_F,CO2_F_MDS,SW_IN_F,RH,WS_F,B,short_up_Avg,WUE
2004-04-01 09:00:00,2.80422,72.43270000000001,0.0,2.408175,283.624,11.251000000000001,378.318,492.3615,67.575,0.9079999999999999,3.9928337374754337,492.3615,0.0
2004-04-01 10:00:00,2.48284,98.71735,0.0,2.71619,361.1515,12.6245,378.7325,641.806,51.575,1.5015,3.6776468439145136,641.806,0.0
2004-04-01 11:00:00,2.55424,113.374,0.0,3.00474,409.0365,13.84,380.065,741.3199999999999,40.5,1.9585,3.599282129625886,741.3199999999999,0.0
2004-04-01 12:00:00,3.2953799999999998,133.993,0.0,3.1696150000000003,418.0005,14.536000000000001,379.9045,784.9314999999999,34.35,2.02,3.1194299483371486,784.9314999999999,0.0
2004-04-01 13:00:00,2.76886,144.24200000000002,0.0,3.36728,375.236,15.3335,379.354,767.5005,32.275,2.033,2.680301081716939,767.5005,0.0
2004-04-01 14:00:00,2.8126100000000003,77.12049999999999,0.0,3.298935,263.7845,15.154499999999999,358.947,668.3340000000001,30.950000000000003,3.0295,2.214401649243456,668.3340000000001,0.0
2004-04-01 15:00:00,4.247505,155.7745,0.0,3.5766999999999998,299.138,16.227,406.34000000000003,529.5145,31.049999999999997,3.701,1.8663712417305471,529.5145,0.0
2004-04-01 16:00:00,4.512560000000001,108.0276,0.0,3.4524,112.6978,15.8655,384.4,364.58349999999996,30.9,3.5735,1.011978459377055,364.58349999999996,0.0
2004-04-02 09:00:00,2.842575,128.51749999999998,0.0,2.154895,287.081,11.6125,388.75800000000004,526.8054999999999,47.275000000000006,4.6505,2.242484588783863,526.8054999999999,0.0
2004-04-02 10:00:00,2.8225,179.6845,0.0,2.34203,353.52049999999997,12.585,387.0745,672.5005,37.15,3.3985000000000003,1.9725855460193744,672.5005,0.0
2004-04-02 11:00:00,3.36769,223.049,0.0,2.66939,401.8755,14.1415,382.7415,771.042,33.925,3.184,1.8015792204124401,771.042,0.0
2004-04-02 12:00:00,3.67828,180.463,0.0,2.850155,338.28999999999996,14.994,380.5625,812.987,31.05,3.229,1.8769347522146846,812.987,0.0
2004-04-02 13:00:00,3.018475,189.578,0.0,3.03837,317.83050000000003,15.847999999999999,380.2125,796.806,28.5,3.231,1.6744341096483502,796.806,0.0
2004-04-02 14:00:00,2.54849,175.8665,0.0,3.155605,286.7465,16.396500000000003,379.807,718.3340000000001,28.05,4.0655,1.6337920930669672,718.3340000000001,0.0
2004-04-02 15:00:00,2.1328300000000002,136.478,0.0,3.2415700000000003,179.4995,16.814999999999998,380.49350000000004,587.6395,27.35,3.388,1.309605129429817,587.6395,0.0
2004-04-02 16:00:00,2.7128300000000003,88.26384999999999,0.0,3.2142049999999998,86.72874999999999,16.785,380.4255,420.9035,26.95,3.4225000000000003,0.9812378353362115,420.9035,0.0
2004-04-03 09:00:00,4.18131,103.79165,0.0,2.1683399999999997,203.4445,13.377500000000001,388.496,495.41700000000003,44.1,5.116,1.953108106631023,495.41700000000003,0.0
2004-04-03 10:00:00,2.92287,115.82650000000001,0.0,2.4530450000000004,220.2145,14.904499999999999,384.4175,636.042,36.5,5.181,1.9074088756075798,636.042,0.0
2004-04-03 11:00:00,1.9661050000000002,145.784,0.0,2.5535949999999996,275.36199999999997,15.4765,383.8275,723.1255,37.025,6.4805,1.9086708284741092,723.1255,0.0
2004-04-03 12:00:00,2.778415,184.2135,0.0,2.68941,332.80600000000004,16.2035,383.4835,723.8199999999999,39.224999999999994,7.192,1.8052685351980349,723.8199999999999,0.0
2004-04-03 13:00:00,2.32443,161.6285,0.0,2.663075,279.9455,16.1675,381.75750000000005,730.1395,38.225,7.8595,1.732008308091023,730.1395,0.0
2004-04-03 14:00:00,1.4550340000000002,151.6085,0.0,2.58735,201.1535,15.8995,380.57,653.3335,36.65,6.4775,1.4359564342777715,653.3335,0.0
2004-04-03 15:00:00,0.9333885,109.9065,0.0,2.59306,135.7455,16.0165,378.9405,546.3895,31.2,6.24,1.2292334891241485,546.3895,0.0
2004-04-03 16:00:00,0.7307229500000001,44.8541,0.0,2.36203,36.7787,14.960999999999999,379.844,363.8895,25.15,5.019,1.0196798088483636,363.8895,0.0
2004-04-04 09:00:00,3.2223550000000003,122.8795,0.0,1.563405,245.231,11.079,384.9425,536.4590000000001,46.224999999999994,1.4009999999999998,2.0099002595471505,536.4590000000001,0.0
2004-04-04 10:00:00,3.4417150000000003,145.749,0.0,1.7385,272.58500000000004,12.2315,382.9745,676.806,32.650000000000006,1.342,1.863581233915749,676.806,0.0
2004-04-04 11:00:00,3.6677400000000002,188.7175,0.0,1.928,300.443,13.4015,382.349,754.306,27.575,1.1124999999999998,1.6335096962144329,754.306,0.0
2004-04-04 12:00:00,4.075965,200.0895,0.0,2.085525,350.687,14.325,382.289,809.0284999999999,25.775,1.6905000000000001,1.7516391371561264,809.0284999999999,0.0
2004-04-04 13:00:00,3.293765,166.199,0.0,2.190155,286.577,14.92,383.071,787.431,24.05,1.2515,1.7250565153065898,787.431,0.0
2004-04-04 14:00:00,2.55072,165.897,0.0,2.32993,252.427,15.685500000000001,382.8115,723.9590000000001,22.85,1.5785,1.519012737029972,723.9590000000001,0.0
2004-04-04 15:00:00,2.431165,130.8275,0.0,2.42798,193.71949999999998,16.21,382.3485,581.8755,22.45,1.142,1.4871084501546936,581.8755,0.0
2004-04-04 16:00:00,2.960425,86.6263,0.0,2.4557599999999997,109.1969,16.366500000000002,382.06899999999996,411.7365,22.4,2.133,1.2438740008116307,411.7365,0.0
2004-04-05 09:00:00,1.8348900000000001,81.46275,0.0,2.14529,198.6695,14.924,379.232,421.59749999999997,34.625,6.7785,2.4293410962705755,421.59749999999997,0.0
2004-04-05 10:00:00,2.194255,87.71844999999999,0.0,2.30839,213.0205,15.8345,378.70399999999995,452.0145,32.2,7.198,2.4348473785890636,452.0145,0.0
2004-04-05 11:00:00,2.2973600000000003,99.3082,0.0,2.40397,231.496,16.352,378.18,555.4175,31.049999999999997,7.2595,2.326531419565791,555.4175,0.0
2004-04-05 12:00:00,3.0030650000000003,125.7045,0.0,2.6337099999999998,380.47299999999996,17.5375,377.03549999999996,578.8199999999999,28.975,7.228999999999999,3.0258209809607948,578.8199999999999,0.0
2004-04-05 13:00:00,2.40959,93.33455000000001,0.0,2.551585,201.26600000000002,17.1385,376.5875,470.139,29.825000000000003,6.572,2.1602100952462404,470.139,0.0
2004-04-05 14:00:00,2.825775,100.8191,0.0,2.771665,259.655,18.2335,376.7405,448.7505,27.375,5.692,2.571284253407522,448.7505,0.0
2004-04-05 15:00:00,2.280005,100.06445,0.0,3.0043100000000003,184.02100000000002,19.3435,377.60850000000005,400.6255,25.875,6.712,1.8316363620820824,400.6255,0.0
2004-04-05 16:00:00,1.9932699999999999,74.77635000000001,0.0,3.0537650000000003,102.32730000000001,19.59,376.429,241.3475,26.75,6.1815,1.3357536752939883,288.584,0.0
2004-04-06 09:00:00,2.3552299999999997,75.44635,0.0,2.7036,214.43849999999998,16.9025,382.459,480.139,48.9,4.9105,2.792041835251945,480.139,0.0
2004-04-06 10:00:00,2.709965,90.98665,0.0,3.175135,310.8215,18.9025,379.402,597.431,44.925,3.7995,3.4258580069599853,597.431,0.0
2004-04-06 11:00:00,3.311675,113.1258,0.0,3.54821,356.5075,20.333,376.4365,692.5699999999999,43.65,3.9675000000000002,3.192032570657293,692.5699999999999,0.0
2004-04-06 12:00:00,3.121295,145.64999999999998,0.0,3.8550050000000002,434.60400000000004,21.4025,374.956,735.417,42.3,3.211,2.9915224115149948,735.417,0.0
2004-04-06 13:00:00,3.62927,144.779,0.0,4.155805,418.496,22.3925,373.48400000000004,751.6675,40.325,2.4645,2.887348705031475,751.6675,0.0
2004-04-06 14:00:00,4.733175,150.68,0.0,4.392995,422.3165,23.107,371.4055,635.0005,38.45,1.938,2.825845954355869,635.0005,0.0
2004-04-06 15:00:00,2.289085,136.309,0.0,4.63205,384.7765,23.799500000000002,370.706,471.4585,37.025000000000006,2.8725,2.829122198662449,471.4585,0.0
2004-04-06 16:00:00,1.7792750000000002,65.62635,0.0,4.550625,159.939,23.387999999999998,371.53499999999997,281.1115,37.9,3.9655,2.398388918963988,281.1115,0.0
2004-04-07 11:00:00,2.64736,59.116600000000005,0.0,3.807305,36.42035,18.622500000000002,385.14549999999997,272.1875,50.025000000000006,1.3105,0.5950077328773118,272.1875,0.0
2004-04-07 12:00:00,3.292135,111.04920000000001,0.0,4.228770000000001,264.6595,19.9655,368.736,605.9725000000001,43.2,2.6595,2.1984507663201773,605.9725000000001,0.0
2004-04-07 13:00:00,2.33631,124.626,0.0,4.8414649999999995,292.754,21.8215,367.0595,453.7505,40.675,3.2205000000000004,2.4446165223375234,453.7505,0.0
2004-04-07 14:00:00,2.098655,72.8511,0.0,5.007535,223.171,22.219,366.01649999999995,420.2785,40.125,3.8735,3.052332210412948,420.2785,0.0
2004-04-07 15:00:00,1.359915,79.23115,0.0,5.14208,173.6945,22.512,365.305,320.34749999999997,39.325,4.0265,2.2175353061539473,320.34749999999997,0.0
2004-04-08 09:00:00,3.9205500000000004,137.69650000000001,0.0,1.978955,101.7662,8.7585,380.3905,568.542,43.325,4.9735,0.7455056023225894,568.542,0.0
2004-04-08 10:00:00,3.7578,170.34550000000002,0.0,2.24902,134.3675,10.184000000000001,379.2015,714.4449999999999,37.625,5.085,0.7832998722422189,714.4449999999999,0.0
2004-04-08 11:00:00,4.341085,250.3055,0.0,2.539355,202.04399999999998,11.6465,378.0355,808.334,33.900000000000006,4.635,0.8028236025702733,808.334,0.0
2004-04-08 12:00:00,4.94167,287.0795,0.0,2.77868,234.094,12.783,377.34000000000003,830.209,31.45,3.7115,0.8156714938370403,830.209,0.0
